ID,N_VICTIMAS,FECHA,SEMESTRE,ANIO,MM,DD,HORA,HH,PARTE_DIA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,SEXO,EDAD
2017-0150,1,2017-12-04,2,2017,12,4,01:15:00,1,1,AV. RIVADAVIA Y MIRALLA,AVENIDA,RIVADAVIA AV.,MIRALLA,9,PEATON_AUTO,PEATON,AUTO,MASCULINO,56.0
2017-0151,1,2017-12-04,2,2017,12,4,02:15:00,2,1,VIEYTES Y LUJAN,CALLE,VIEYTES,LUJAN,4,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,
2017-0152,1,2017-12-06,2,2017,12,6,17:30:00,17,4,CACHI Y TRAFUL,CALLE,CACHI,TRAFUL,4,BICICLETA_PASAJEROS,BICICLETA,PASAJEROS,MASCULINO,19.0
2017-0154,1,2017-12-11,2,2017,12,11,09:15:00,9,2,AV. ENTRE RIOS Y AV. CASEROS,AVENIDA,ENTRE RIOS AV.,CASEROS AV.,4,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,76.0
2017-0155,1,2017-12-12,2,2017,12,12,21:25:41,21,5,AV. RIVADAVIA 6350,AVENIDA,RIVADAVIA AV.,,7,SD_MOTO,,MOTO,MASCULINO,77.0
2017-0157,1,2017-12-17,2,2017,12,17,09:02:00,9,2,AV. GRAL. PAZ Y HUMAITA,GRAL PAZ,"PAZ, GRAL. AV.",HUMAITA,9,AUTO_PASAJEROS,AUTO,PASAJEROS,MASCULINO,53.0
2017-0158,1,2017-12-18,2,2017,12,18,21:30:00,21,5,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,GRAL PAZ,GUALEGUAYCHU,"PAZ, GRAL. AV.",11,MOTO_AUTO,MOTO,AUTO,MASCULINO,32.0
2017-0159,1,2017-12-20,2,2017,12,20,04:31:27,4,1,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY",1,MOTO_AUTO,MOTO,AUTO,MASCULINO,27.0
2017-0160,1,2017-12-22,2,2017,12,22,13:15:00,13,4,AV. NAZCA 365,AVENIDA,NAZCA AV.,,7,PEATON_MOTO,PEATON,MOTO,FEMENINO,30.0
2017-0161,1,2017-12-26,2,2017,12,26,15:30:00,15,4,AV. EVA PERON 5249,AVENIDA,"PERON, EVA AV.",,9,PEATON_AUTO,PEATON,AUTO,FEMENINO,30.0
2018-0001,1,2018-01-01,1,2018,1,1,22:50:00,22,5,San Juan Av. Y Rincón,AVENIDA,SAN JUAN AV.,RINCON,3,PEATON_MOTO,PEATON,MOTO,MASCULINO,83.0
2018-0002,1,2018-01-03,1,2018,1,3,16:40:00,16,4,Peru 937,CALLE,PERU,,1,BICICLETA_PASAJEROS,BICICLETA,PASAJEROS,FEMENINO,26.0
2018-0003,1,2018-01-05,1,2018,1,5,10:12:00,10,2,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,"PUEYRREDON, HONORIO, DR. AV.",GALICIA,15,MULTIPLE,PEATON,MULTIPLE,FEMENINO,58.0
2018-0004,1,2018-01-09,1,2018,1,9,09:40:00,9,2,Del Libertador Av. y Manzanares,AVENIDA,DEL LIBERTADOR AV.,MANZANARES,13,MULTIPLE,MOTO,MULTIPLE,MASCULINO,39.0
2018-0005,1,2018-01-09,1,2018,1,9,22:30:00,22,5,Paseo Colon Av. 1019,AVENIDA,PASEO COLON AV.,,1,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,54.0
2018-0006,1,2018-01-10,1,2018,1,10,21:15:00,21,5,Valle y Barco Centenera Del,CALLE,VALLE,BARCO CENTENERA DEL,6,BICICLETA_PASAJEROS,BICICLETA,PASAJEROS,FEMENINO,45.0
2018-0007,1,2018-01-11,1,2018,1,11,02:30:00,2,1,AU Perito Moreno  KM 0.6,AUTOPISTA,AUTOPISTA PERITO MORENO,,9,AUTO_AUTO,AUTO,AUTO,MASCULINO,46.0
2018-0008,1,2018-01-12,1,2018,1,12,17:50:00,17,4,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,"HUERGO, ING. AV.",INDEPENDENCIA AV.,1,MOTO_CARGAS,MOTO,CARGAS,FEMENINO,32.0
2018-0009,1,2018-01-14,1,2018,1,14,02:00:00,2,1,"Pilcomayo y Brown, Alte. Av.",AVENIDA,PILCOMAYO,"BROWN, ALTE. AV.",4,MOTO_MOTO,MOTO,MOTO,MASCULINO,19.0
2018-0010,1,2018-01-18,1,2018,1,18,05:10:00,5,1,"Cervantes y Belaustegui, Luis, Dr.",CALLE,CERVANTES,"BELAUSTEGUI, LUIS, DR.",10,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,40.0
2018-0011,1,2018-01-19,1,2018,1,19,10:30:00,10,2,Callao y Vte. Lopez,AVENIDA,CALLAO AV.,"LOPEZ, VICENTE",2,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,84.0
2018-0012,1,2018-01-26,1,2018,1,26,13:30:00,13,4,"Oliden y Chilavert, Martiniano, Coronel",CALLE,OLIDEN,"CHILAVERT, MARTINIANO, CORONEL",8,MOTO_PASAJEROS,MOTO,PASAJEROS,MASCULINO,20.0
2018-0013,1,2018-01-28,1,2018,1,28,08:15:00,8,2,Congreso Av. y Galvan,AVENIDA,CONGRESO AV.,GALVAN,12,MOTO_AUTO,MOTO,AUTO,MASCULINO,44.0
2018-0014,1,2018-01-31,1,2018,1,31,20:00:00,20,5,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,"MORENO, PERITO AV.",RIVERA INDARTE AV.,7,PEATON_MOTO,PEATON,MOTO,MASCULINO,
2018-0016,1,2018-02-15,1,2018,2,15,10:15:00,10,2,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,DEL LIBERTADOR AV.,"RAMOS MEJIA, JOSE MARIA, DR. AV.",1,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,31.0
2018-0017,1,2018-02-17,1,2018,2,17,04:15:00,4,1,San Pedrito Av. y Rivadavia Av.,AVENIDA,SAN PEDRITO AV.,RIVADAVIA AV.,7,PEATON_AUTO,PEATON,AUTO,MASCULINO,35.0
2018-0018,1,2018-02-17,1,2018,2,17,07:15:00,7,2,"Isabel La Catolica y Salvadores, Cnel.",CALLE,ISABEL LA CATOLICA,"SALVADORES, CNEL.",4,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,26.0
2018-0019,1,2018-02-17,1,2018,2,17,12:30:00,12,4,Las Heras General Av. y Callao Av.,AVENIDA,LAS HERAS GENERAL AV.,CALLAO AV.,2,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,80.0
2018-0020,1,2018-02-19,1,2018,2,19,22:00:00,22,5,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,,8,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,26.0
2018-0021,1,2018-02-22,1,2018,2,22,10:45:00,10,2,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,"ALCORTA, AMANCIO AV.",ZAVALETA,4,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,62.0
2018-0022,1,2018-02-24,1,2018,2,24,00:00:00,0,0,"Montes De Oca, Manuel y Olavarria",AVENIDA,"MONTES DE OCA, MANUEL AV.",OLAVARRIA,4,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,28.0
2018-0023,1,2018-02-24,1,2018,2,24,06:00:00,6,1,Barco Centenera Del y Rosario,CALLE,BARCO CENTENERA DEL,ROSARIO,6,MOTO_AUTO,MOTO,AUTO,MASCULINO,28.0
2018-0024,1,2018-02-28,1,2018,2,28,23:00:00,23,5,Alvarez Thomas Av. y Donado,AVENIDA,ALVAREZ THOMAS AV.,DONADO,15,PEATON_CARGAS,PEATON,CARGAS,MASCULINO,70.0
2018-0025,1,2018-03-04,1,2018,3,4,22:30:00,22,5,Av. Avellaneda y Av. Boyacá,AVENIDA,AVELLANEDA AV.,BOYACA AV.,7,PEATON_AUTO,PEATON,AUTO,MASCULINO,70.0
2018-0027,1,2018-03-11,1,2018,3,11,23:00:00,23,5,Castro y Rondeau,CALLE,CASTRO,RONDEAU,5,PEATON_MOTO,PEATON,MOTO,FEMENINO,74.0
2018-0028,1,2018-03-13,1,2018,3,13,15:45:00,15,4,"Bilbao, Francisco Av. y Azul",AVENIDA,"BILBAO, FRANCISCO AV.",AZUL,9,PEATON_CARGAS,PEATON,CARGAS,MASCULINO,71.0
